[Gene ID]	[Genomic Sequence ID]	[UniProt ID]	[Entrez Gene ID]	[Gene Name or Symbol]	[Previous ID(s)]	
PF3D7_0106700	Pf3D7_01_v3	null	null	AARP2	MAL1P1.58, PFA0330w	
PF3D7_0106800	Pf3D7_01_v3	null	null	RAB5c	MAL1P1.59, PFA0335w	
PF3D7_0106900	Pf3D7_01_v3	null	null	IspD	MAL1P1.60, PFA0340w	
PF3D7_0107000	Pf3D7_01_v3	null	null	CEN1	MAL1P1.61, PFA0345w	
PF3D7_0107100	Pf3D7_01_v3	null	null	null	MAL1P1.63, PFA0350c	
PF3D7_0107200	Pf3D7_01_v3	null	null	null	MAL1P1.64, PFA0350w, PFA0355w, PFA0355w:exon:1	
PF3D7_0107300	Pf3D7_01_v3	null	null	null	MAL1P1.65, PFA0360c	
PF3D7_0107400	Pf3D7_01_v3	null	null	null	MAL1P2.02, PFA0370w	
PF3D7_0107500	Pf3D7_01_v3	null	null	null	MAL1P2.03, PFA0375c	
PF3D7_0107600	Pf3D7_01_v3	null	null	null	MAL1P2.04, PFA0380w	
PF3D7_0107700	Pf3D7_01_v3	null	null	null	MAL1P2.05, PFA0385w	
PF3D7_0107800	Pf3D7_01_v3	null	null	MRE11	MAL1P2.06, PFA0390w	
PF3D7_0107900	Pf3D7_01_v3	null	null	null	PFA0395c, PFA0395w	
PF3D7_0108000	Pf3D7_01_v3	null	null	null	MAL1P2.08, PFA0400c	
PF3D7_0108100	Pf3D7_01_v3	null	null	null	MAL1P2.09, PFA0405w	
PF3D7_0108300	Pf3D7_01_v3	null	null	null	MAL1P2.10, PFA0410w	
PF3D7_0108400.1	Pf3D7_01_v3	null	null	null	MAL1P2.12, PFA0415c	
PF3D7_0108400.2	Pf3D7_01_v3	null	null	null	MAL1P2.12, PFA0415c	
PF3D7_0108500	Pf3D7_01_v3	null	null	null	MAL1P2.13, PFA0420w	
PF3D7_0108600	Pf3D7_01_v3	null	null	null	MAL1P2.14, PFA0425c	
PF3D7_0108700	Pf3D7_01_v3	null	null	PSOP24	MAL1P2.15, PFA0430c	
