[Gene ID]	[Genomic Sequence ID]	[UniProt ID]	[Entrez Gene ID]	[Gene Name or Symbol]	[Previous ID(s)]	
PF3D7_0621500	Pf3D7_06_v3	C6KT53	3885891	null	2270.t00105, MAL6P1.212, PFF1040w	
PF3D7_0621600	Pf3D7_06_v3	null	3885892	null	MAL6_tRNA_Ser1, MAL6_tRNA_Ser1:tRNA	
PF3D7_0621700	Pf3D7_06_v3	C6KT54	3885893	null	2270.t00106, MAL6P1.211, PFF1045w	
PF3D7_0621800	Pf3D7_06_v3	C6KT55	3885894	null	2270.t00108, MAL6P1.210, PFF1050w	
PF3D7_0621900	Pf3D7_06_v3	C6KT56	3885850	SRP68	2270.t00109, MAL6P1.209, PFF1055c	
PF3D7_0622000	Pf3D7_06_v3	C6KT57	3885851	null	2270.t00456, MAL6P1.208, PFF1060w	
PF3D7_0622100	Pf3D7_06_v3	C6KT58	3885852	null	2270.t00110, MAL6P1.207, PFF1065c	
PF3D7_0622200	Pf3D7_06_v3	C6KT59	3885853	null	2270.t00111, MAL6P1.206, PFF1070c	
PF3D7_0622300	Pf3D7_06_v3	C6KT60	3885854	null	2270.t00112, MAL6P1.205, PFF1075w	
PF3D7_0622400	Pf3D7_06_v3	C6KT61	3885855	null	2270.t00113, MAL6P1.204, PFF1080w	
PF3D7_0622500	Pf3D7_06_v3	C6KT62	3885856	null	2270.t00114, MAL6P1.203, PFF1085c	
PF3D7_0622600	Pf3D7_06_v3	C0H4H6	9221868	null	PFF1085a	
PF3D7_0622700	Pf3D7_06_v3	C6KT63	3885857	null	2270.t00115, MAL6P1.202, PFF1090c	
PF3D7_0622800	Pf3D7_06_v3	C6KT64	3885858	null	2270.t00116, MAL6P1.201, PFF1095w	
PF3D7_0622900	Pf3D7_06_v3	C6KT65	3885859	ApiAP2	2270.t00117, MAL6P1.200, PFF1100c	
PF3D7_0623000	Pf3D7_06_v3	C6KT66	3885860	CS	2270.t00118, MAL6P1.199, PFF1105c	
PF3D7_0623100	Pf3D7_06_v3	C6KT67	3885861	null	2270.t00119, MAL6P1.198, PFF1110c	
PF3D7_0623200	Pf3D7_06_v3	C6KT68	3885862	FNR	2270.t00455, MAL6P1.197, PFF1115w	
PF3D7_0623300	Pf3D7_06_v3	C6KT69	3885863	null	2270.t00454, MAL6P1.196, PFF1120c	
PF3D7_0623400	Pf3D7_06_v3	C6KT70	3885870	null	2270.t00121, MAL6P1.195, PFF1125c	
PF3D7_0623500	Pf3D7_06_v3	C6KT71	3885871	SOD2	2270.t00122, MAL6P1.194, PFF1130c	
PF3D7_0623600	Pf3D7_06_v3	C6KT72	3885872	null	2270.t00123, MAL6P1.193, PFF1135w	
PF3D7_0623700	Pf3D7_06_v3	C6KT73	3885873	null	2270.t00453, MAL6P1.192, PFF1140c	
PF3D7_0623800	Pf3D7_06_v3	C6KT74	3885874	TKL4	2270.t00551, MAL6P1.191, PFF1145c	
PF3D7_0623900	Pf3D7_06_v3	C6KT75	3885875	null	2270.t00125, MAL6P1.190, PFF1150w	
PF3D7_0624000	Pf3D7_06_v3	C6KT76	3885912	HK	2270.t00126, MAL6P1.189, PFF1155w	
PF3D7_0624100	Pf3D7_06_v3	C6KT77	3885913	null	2270.t00127, MAL6P1.188, PFF1160w	
PF3D7_0624200	Pf3D7_06_v3	C6KT78	3885914	null	2270.t00128, MAL6P1.187, PFF1165c	
PF3D7_0624300	Pf3D7_06_v3	C6KT79	3885915	null	2270.t00129, MAL6P1.186, PFF1170w	
PF3D7_0624400	Pf3D7_06_v3	C6KT80	3885916	null	2270.t00130, MAL6P1.185, PFF1175c	
PF3D7_0624500	Pf3D7_06_v3	C6KT81	3885917	null	2270.t00131, MAL6P1.184, PFF1180w	
PF3D7_0624600	Pf3D7_06_v3	C6KT82	3885918	ISWI	2270.t00132, MAL6P1.183, PFF1185w	
PF3D7_0624700	Pf3D7_06_v3	C6KT83	3885976	null	2270.t00133, MAL6P1.182, PFF1190c	
PF3D7_0624800	Pf3D7_06_v3	C6KT84	3885977	null	2270.t00134, MAL6P1.181, PFF1195c	
PF3D7_0624900	Pf3D7_06_v3	C6KT85	3885978	null	2270.t00135, MAL6P1.179, MAL6P1.180, PFF1200w, PFF1205w	
PF3D7_0625000.1	Pf3D7_06_v3	null	null	SMS1	2270.t00137, MAL6P1.178, PFF1210w	
PF3D7_0625000.2	Pf3D7_06_v3	C6KT86	3885980	SMS1	2270.t00137, MAL6P1.178, PFF1210w	
PF3D7_0625100	Pf3D7_06_v3	C6KT87	3885685	SMS2	2270.t00138, MAL6P1.177, PFF1215w	
PF3D7_0625200	Pf3D7_06_v3	C6KT88	3885686	null	2270.t00139, MAL6P1.176, PFF1220w	
PF3D7_0625300	Pf3D7_06_v3	C6KT89	3885687	null	2270.t00140, MAL6P1.175, PFF1225c	
PF3D7_0625400	Pf3D7_06_v3	C6KT90	3885688	null	2270.t00141, MAL6P1.174, PFF1230c	
PF3D7_0625500	Pf3D7_06_v3	C6KT91	3885689	null	2270.t00142, MAL6P1.173, PFF1235w	
PF3D7_0625600	Pf3D7_06_v3	C6KT92	3885690	null	2270.t00143, MAL6P1.172, PFF1240w	
PF3D7_0625700	Pf3D7_06_v3	C6KT93	3885691	null	2270.t00144, MAL6P1.171, PFF1245c	
PF3D7_0625800	Pf3D7_06_v3	C6KT94	3885692	null	2270.t00145, MAL6P1.170, PFF1250w	
PF3D7_0625900	Pf3D7_06_v3	C6KT95	3885992	null	2270.t00146, MAL6P1.169, PFF1255w	
PF3D7_0626000	Pf3D7_06_v3	C6KT96	3885993	null	2270.t00147, MAL6P1.168, PFF1260c	
PF3D7_0626100	Pf3D7_06_v3	C6KT97	3885994	null	2270.t00148, MAL6P1.167, PFF1265w	
PF3D7_0626200	Pf3D7_06_v3	C6KT98	3885995	null	2270.t00149, MAL6P1.166, PFF1270c	
PF3D7_0626300	Pf3D7_06_v3	C6KT99	3885996	FabB/FabF	2270.t00150, MAL6P1.165, PFF1275c	
PF3D7_0626400	Pf3D7_06_v3	C6KTA0	3885997	null	2270.t00151, MAL6P1.164, PFF1280w	
PF3D7_0626500	Pf3D7_06_v3	C6KTA1	3885998	null	2270.t00152, MAL6P1.163, PFF1285w	
PF3D7_0626600	Pf3D7_06_v3	C6KTA2	3885759	null	2270.t00153, MAL6P1.162, PFF1290c	
PF3D7_0626700	Pf3D7_06_v3	C6KTA3	3885760	null	2270.t00154, MAL6P1.161, PFF1295w	
PF3D7_0626800	Pf3D7_06_v3	C6KTA4	3885761	PyrK	2270.t00155, MAL6P1.160, PFF1300w	
PF3D7_0626840	Pf3D7_06_v3	null	null	null	null	
PF3D7_0626900	Pf3D7_06_v3	C6KTA5	3885762	null	2270.t00156, MAL6P1.159, PFF1305w	
PF3D7_0627000	Pf3D7_06_v3	C6KTA6	3885763	null	2270.t00157, MAL6P1.158, PFF1310c	
PF3D7_0627100	Pf3D7_06_v3	C6KTA7	3885764	null	2270.t00158, MAL6P1.157, PFF1315w	
PF3D7_0627200	Pf3D7_06_v3	C6KTA8	3885765	null	2270.t00159, MAL6P1.156, PFF1320c	
PF3D7_0627300	Pf3D7_06_v3	C6KTA9	3885693	RNF5	2270.t00160, MAL6P1.155, PFF1325c	
PF3D7_0627400	Pf3D7_06_v3	C6KTB0	3885694	TIM22	2270.t00161, MAL6P1.154, PFF1330c	
PF3D7_0627500	Pf3D7_06_v3	C6KTB1	3885695	DJ1	2270.t00162, MAL6P1.153, PFF1335c	
PF3D7_0627600	Pf3D7_06_v3	C6KTB2	3885696	null	2270.t00163, MAL6P1.152, PFF1340w	
PF3D7_0627700	Pf3D7_06_v3	C6KTB3	3885697	null	2270.t00164, MAL6P1.151, PFF1345w	
PF3D7_0627800	Pf3D7_06_v3	C6KTB4	3885698	ACS	2270.t00165, MAL6P1.150, PFF1350c	
PF3D7_0627900	Pf3D7_06_v3	C6KTB5	3885699	POP4	2270.t00166, MAL6P1.149, PFF1355w	
PF3D7_0628000	Pf3D7_06_v3	C6KTB6	3885700	PTPS	2270.t00167, MAL6P1.148, PFF1360w	
PF3D7_0628100	Pf3D7_06_v3	C6KTB7	3885722	null	2270.t00168, MAL6P1.147, PFF1365c	
PF3D7_0628200	Pf3D7_06_v3	C6KTB8	3885723	PK4	2270.t00170, MAL6P1.146, PFF1370w	
PF3D7_0628300	Pf3D7_06_v3	C6KTB9	3885724	CEPT	2270.t00171, MAL6P1.145, PFF1375c	
PF3D7_0628400	Pf3D7_06_v3	C0H4H7	9221870	null	MAL6P1.144, PFF1377w	
PF3D7_0628500	Pf3D7_06_v3	C6KTC0	3885725	null	2270.t00173, MAL6P1.143, PFF1380c	
PF3D7_0628600	Pf3D7_06_v3	C6KTC1	3885726	null	2270.t00174, MAL6P1.142, PFF1385c	
PF3D7_0628700	Pf3D7_06_v3	C6KTC2	3885727	null	2270.t00175, MAL6P1.141, PFF1390w	
PF3D7_0628800	Pf3D7_06_v3	C6KTC3	3885728	null	2270.t00176, MAL6P1.140, PFF1395c	
PF3D7_0628900	Pf3D7_06_v3	C6KTC4	3885729	null	2270.t00177, MAL6P1.139, PFF1400w	
PF3D7_0629000	Pf3D7_06_v3	C6KTC5	3885730	null	2270.t00178, MAL6P1.138, PFF1405c	
PF3D7_0629100	Pf3D7_06_v3	C6KTC6	3885731	NAPRT	2270.t00179, MAL6P1.137, PFF1410c	
PF3D7_0629200	Pf3D7_06_v3	C6KTC7	3885732	null	2270.t00180, MAL6P1.136, PFF1415c	
PF3D7_0629300	Pf3D7_06_v3	C6KTC8	3885733	PL	2270.t00181, MAL6P1.135, PFF1420w	
PF3D7_0629400	Pf3D7_06_v3	C6KTC9	3885734	null	2270.t00182, MAL6P1.134, PFF1425w	
PF3D7_0629500	Pf3D7_06_v3	C6KTD0	3885735	null	2270.t00183, MAL6P1.133, PFF1430c	
PF3D7_0629600	Pf3D7_06_v3	C6KTD1	3885749	null	2270.t00449, MAL6P1.132, PFF1435w	
PF3D7_0629700	Pf3D7_06_v3	C6KTD2	3885750	SET1	2270.t00184, MAL6P1.131, PFF1440w	
PF3D7_0629800	Pf3D7_06_v3	C6KTD3	3885751	null	2270.t00185, MAL6P1.130, PFF1445c	
PF3D7_0629900	Pf3D7_06_v3	C6KTD4	3885752	null	2270.t00186, MAL6P1.129, PFF1450w	
PF3D7_0630000	Pf3D7_06_v3	C6KTD5	3885753	null	2270.t00188, MAL6P1.128, PFF1455c	
PF3D7_0630100	Pf3D7_06_v3	C6KTD6	3885766	null	2270.t00189, MAL6P1.127, PFF1460c	
PF3D7_0630200	Pf3D7_06_v3	C6KTD7	3885767	PSOP6	2270.t00190, MAL6P1.126, PFF1465w	
PF3D7_0630300	Pf3D7_06_v3	C6KTD8	3885768	null	2270.t00191, MAL6P1.125, PFF1470c	
PF3D7_0630400	Pf3D7_06_v3	C6KTD9	3885769	null	2270.t00193, MAL6P1.124, PFF1475c	
PF3D7_0630500	Pf3D7_06_v3	C6KTE0	3885770	null	2270.t00194, MAL6P1.123, PFF1480w	
PF3D7_0630600	Pf3D7_06_v3	C6KTE1	3885771	null	2270.t00195, MAL6P1.122, PFF1485w	
PF3D7_0630700	Pf3D7_06_v3	C6KTE2	3885772	null	2270.t00196, MAL6P1.121, PFF1490w	
PF3D7_0630800	Pf3D7_06_v3	C6KTE3	3885812	null	2270.t00197, MAL6P1.120, PFF1495w	
PF3D7_0630900	Pf3D7_06_v3	C6KTE4	3885813	HAS1	2270.t00198, MAL6P1.119, PFF1500c	
PF3D7_0631000	Pf3D7_06_v3	C6KTE5	3885814	null	2270.t00199, MAL6P1.117, PFF1505w	
PF3D7_0631100	Pf3D7_06_v3	C6KTE6	3885815	null	PFF1510w	
PF3D7_0631200	Pf3D7_06_v3	null	3885816	VAR	2270.t00305, 2270.t00307, MAL6P1.17, MAL6P1.18, PFF1515c	
PF3D7_0631300	Pf3D7_06_v3	null	3885817	EPF1	2270.t00308, MAL6P1.16, PFF1520w	
PF3D7_0631400	Pf3D7_06_v3	C6KTE8	3885818	MC-2TM	2270.t00309, MAL6P1.15, PFF1525c	
PF3D7_0631500	Pf3D7_06_v3	C6KTE9	3885819	EPF3	2270.t00310, MAL6P1.14, PFF1530c	
PF3D7_0631600	Pf3D7_06_v3	null	3885820	EPF4	2270.t00311, MAL6P1.13, PFF1535w	
PF3D7_0631700	Pf3D7_06_v3	null	3885821	null	2270.t00312, MAL6P1.12, PFF1540w	
PF3D7_0631800	Pf3D7_06_v3	C6KTF0	3885822	RIF	2270.t00313, MAL6P1.11, PFF1545w	
PF3D7_0631900	Pf3D7_06_v3	C6KTF1	3885823	null	2270.t00314, MAL6P1.10, PFF1550w	
PF3D7_0632000	Pf3D7_06_v3	C6KTF2	3885824	RIF	2270.t00315, MAL6P1.9, PFF1555w	
PF3D7_0632100	Pf3D7_06_v3	C6KTF3	3885825	RIF	2270.t00316, MAL6P1.8, PFF1560c	
PF3D7_0632200	Pf3D7_06_v3	C6KTF4	3885826	RIF	2270.t00317, MAL6P1.7, PFF1565c	
PF3D7_0632300	Pf3D7_06_v3	C6KTF5	3885827	RIF	2270.t00318, MAL6P1.6, PFF1570w	
PF3D7_0632400	Pf3D7_06_v3	C6KTF6	3885828	RIF	2270.t00319, MAL6P1.5, PFF1575w	
PF3D7_0632500	Pf3D7_06_v3	C6KTF7	3885829	VAR	2270.t00320, MAL6P1.4, PFF1580c	
PF3D7_0632600	Pf3D7_06_v3	null	3885830	RIF	2270.t00321, MAL6P1.3, PFF1585w	
PF3D7_0632700	Pf3D7_06_v3	C6KTF8	3885831	RIF	2270.t00322, MAL6P1.2, PFF1590w	
PF3D7_0632800	Pf3D7_06_v3	C6KTF9	3885832	VAR	2270.t00323, MAL6P1.1, PFF1595c	
PF3D7_0700100	Pf3D7_07_v3	C0H510	9221962	VAR	MAL8P1.220	
PF3D7_0700200	Pf3D7_07_v3	C0H509	9221961	RIF	MAL8P1.219	
PF3D7_0700300	Pf3D7_07_v3	C0H508	9221947	RIF	MAL8P1.218	
PF3D7_0700400	Pf3D7_07_v3	C0H507	9221946	null	MAL8P1.217	
PF3D7_0700500	Pf3D7_07_v3	C0H506	9221945	RIF	MAL8P1.216	
PF3D7_0700600	Pf3D7_07_v3	C0H505	9221944	null	MAL8P1.215	
PF3D7_0700700	Pf3D7_07_v3	null	9221958	null	MAL8P1.214	
PF3D7_0700800	Pf3D7_07_v3	C0H504	9221949	MC-2TM	MAL8P1.213	
PF3D7_0700900	Pf3D7_07_v3	null	9221942	null	MAL8P1.212	
PF3D7_0701000	Pf3D7_07_v3	C0H502	9221941,9221960	null	MAL8P1.209, MAL8P1.211	
PF3D7_0701100	Pf3D7_07_v3	null	null	RIF	null	
PF3D7_0701200	Pf3D7_07_v3	null	null	RIF	null	
PF3D7_0701300	Pf3D7_07_v3	null	9221891	RIF	MAL7P1.200	
PF3D7_0701400	Pf3D7_07_v3	C0H4J8	2655202	EPF4	MAL7P1.3	
PF3D7_0701500	Pf3D7_07_v3	null	2655000	EPF3	MAL7P1.4	
PF3D7_0701600	Pf3D7_07_v3	Q8IC51	2655003	MC-2TM	MAL7P1.5	
PF3D7_0701700	Pf3D7_07_v3	Q8IC50	2654970	EPF1	1868.m00022, PF07_0002	
PF3D7_0701800	Pf3D7_07_v3	Q8IC49	2654944	RIF	PF07_0003	
PF3D7_0701900	Pf3D7_07_v3	Q8IC48	2654971	null	PF07_0004	
PF3D7_0702000	Pf3D7_07_v3	C0H4K0	2655007	null	MAL7P1.6	
PF3D7_0702100	Pf3D7_07_v3	Q8IC46	2655018	null	MAL7P1.7	
PF3D7_0702200	Pf3D7_07_v3	Q8IC45	2654972	null	PF07_0005	
PF3D7_0702300	Pf3D7_07_v3	Q8IC44	2654973	STARP	PF07_0006	
PF3D7_0702400	Pf3D7_07_v3	Q8IC43	2654974	SEMP1	PF07_0007	
PF3D7_0702500	Pf3D7_07_v3	Q8IC42	2654975	null	PF07_0008	
PF3D7_0702600	Pf3D7_07_v3	Q8I6S7	2654976	null	PF07_0009	
PF3D7_0702700	Pf3D7_07_v3	null	9221905	null	MAL7_tRNA_Ala1, MAL7_tRNA_Ala1:tRNA	
PF3D7_0702800	Pf3D7_07_v3	null	9221897	null	MAL7_tRNA_Tyr1, MAL7_tRNA_Tyr1:tRNA	
PF3D7_0702900	Pf3D7_07_v3	C0H4K1	2654952	null	MAL7P1.10	
PF3D7_0703000	Pf3D7_07_v3	Q8IC40	2654977	null	PF07_0010	
PF3D7_0703100	Pf3D7_07_v3	Q8IC39	2654978	null	PF07_0011	
PF3D7_0703200	Pf3D7_07_v3	Q8IC38	2654979	null	PF07_0012	
PF3D7_0703300	Pf3D7_07_v3	Q8IC37	2654931	null	MAL7P1.11	
PF3D7_0703400	Pf3D7_07_v3	Q8IC36	2654980	null	1837.m00005, PF07_0013	
PF3D7_0703500	Pf3D7_07_v3	Q8IC35	2655186	null	MAL7P1.12, MAL7P1.166	
PF3D7_0703600	Pf3D7_07_v3	C0H4K2	2655153	null	MAL7P1.13, MAL7P1.165	
PF3D7_0703700	Pf3D7_07_v3	Q8IC33	2655084	null	MAL7P1.14	
PF3D7_0703800	Pf3D7_07_v3	Q8IC32	2654981	null	PF07_0014	
PF3D7_0703900	Pf3D7_07_v3	Q8IC31	2655025	null	MAL7P1.15	
PF3D7_0704000	Pf3D7_07_v3	C0H4K3	2655036	null	MAL7P1.16	
PF3D7_0704100	Pf3D7_07_v3	C0H4K4	2654991	null	MAL7P1.17	
PF3D7_0704200	Pf3D7_07_v3	Q8IC28	2654982	null	PF07_0015	
PF3D7_0704300	Pf3D7_07_v3	Q8IC27	2654983	null	PF07_0016	
PF3D7_0704400	Pf3D7_07_v3	Q8IC26	2654984	null	PF07_0017	
PF3D7_0704500	Pf3D7_07_v3	C0H4K5	2654939	null	MAL7P1.18	
PF3D7_0704600	Pf3D7_07_v3	C0H4K6	2654946	UT	MAL7P1.19	
PF3D7_0704700	Pf3D7_07_v3	Q8IC23	2654985	PPAT	PF07_0018	
PF3D7_0704800	Pf3D7_07_v3	Q8IC22	2655055	null	PF07_0019	
PF3D7_0704900	Pf3D7_07_v3	Q8IC21	2655192	null	MAL7P1.20	
PF3D7_0705000	Pf3D7_07_v3	Q8IC20	2655056	null	PF07_0020	
PF3D7_0705100	Pf3D7_07_v3	Q8IC19	2655057	null	PF07_0021	
PF3D7_0705200	Pf3D7_07_v3	Q8IC18	2655058	null	PF07_0022	
PF3D7_0705300	Pf3D7_07_v3	Q8IC17	2655193	ORC2	MAL7P1.21	
PF3D7_0705400	Pf3D7_07_v3	Q8IC16	2655059	MCM7	PF07_0023	
PF3D7_0705500	Pf3D7_07_v3	Q8IC15	2655060	null	PF07_0024	
PF3D7_0705600	Pf3D7_07_v3	C0H4K7	9221906	null	MAL7P1.201	
PF3D7_0705700	Pf3D7_07_v3	C0H4K8	9221877	null	MAL7P1.300	
PF3D7_0705800	Pf3D7_07_v3	C0H4K9	9221892	null	MAL7P1.339	
PF3D7_0705900	Pf3D7_07_v3	C0H4L0	9221895	null	MAL7P1.340	
PF3D7_0706000	Pf3D7_07_v3	C0H4L1	9221896	null	MAL7P1.202	
PF3D7_0706100	Pf3D7_07_v3	C0H4L2	9221878	null	MAL7P1.203	
PF3D7_0706200	Pf3D7_07_v3	C0H4L3	9221879	null	MAL7P1.203b	
PF3D7_0706300	Pf3D7_07_v3	C0H4L4	9221881	null	MAL7P1.203a	
PF3D7_0706400	Pf3D7_07_v3	C0H4L5	9221880	RPL37	MAL7P1.320	
PF3D7_0706500	Pf3D7_07_v3	C0H4L6	9221894	null	MAL7P1.204	
PF3D7_0706600	Pf3D7_07_v3	C0H4L7,Q8IAK0	9221882	null	MAL7P1.205	
PF3D7_0706700	Pf3D7_07_v3	C0H4L8,Q8IAJ9	9221883	MSH2-2	MAL7P1.206, PF00_0002	
PF3D7_0706800	Pf3D7_07_v3	null	9221884	null	MAL7_tRNA_Thr1, MAL7_tRNA_Thr1:tRNA	
PF3D7_0706900	Pf3D7_07_v3	null	9221903	null	MAL7_tRNA_His1, MAL7_tRNA_His1:tRNA	
PF3D7_0707000	Pf3D7_07_v3	null	9221899	null	MAL7_tRNA_Lys1, MAL7_tRNA_Lys1:tRNA	
PF3D7_0707100	Pf3D7_07_v3	null	9221901	null	MAL7_tRNA_Lys2, MAL7_tRNA_Lys2:tRNA	
PF3D7_0707200	Pf3D7_07_v3	C0H4L9,Q8IAJ8	9221902	null	MAL7P1.207	
PF3D7_0707300	Pf3D7_07_v3	C0H4M0	9221885	RAMA	MAL7P1.208	
PF3D7_0707400	Pf3D7_07_v3	C0H4M1	9221919	null	MAL7P1.209	
PF3D7_0707420	Pf3D7_07_v3	null	null	null	null	
PF3D7_0707500	Pf3D7_07_v3	Q8IC14	2655194	null	MAL7P1.22	
PF3D7_0707600	Pf3D7_07_v3	Q8IC13	2655061	null	PF07_0025	
PF3D7_0707700	Pf3D7_07_v3	Q8IC12	2655062	null	PF07_0026	
PF3D7_0707800	Pf3D7_07_v3	Q8IC11	2655195	null	MAL7P1.23	
PF3D7_0707900	Pf3D7_07_v3	Q8IC10	2655196	null	MAL7P1.24	
PF3D7_0708000	Pf3D7_07_v3	C0H4M2	2655197	null	MAL7P1.25	
PF3D7_0708100	Pf3D7_07_v3	Q8IC08	2655063	null	PF07_0027	
PF3D7_0708200	Pf3D7_07_v3	Q8IC07	2655064	null	PF07_0028	
PF3D7_0708300	Pf3D7_07_v3	Q8IC06	2655198	BUD32	MAL7P1.26	
PF3D7_0708400	Pf3D7_07_v3	Q8IC05	2655065	HSP90	PF07_0029	
PF3D7_0708500	Pf3D7_07_v3	Q8IC04	2655066	null	PF07_0030	
PF3D7_0708600	Pf3D7_07_v3	Q8IC03	2655067	IMC1d	PF07_0031	
PF3D7_0708700	Pf3D7_07_v3	Q8IC02	2655068	null	PF07_0032	
PF3D7_0708800	Pf3D7_07_v3	Q8IC01	2655069	HSP110c	PF07_0033	
PF3D7_0708900	Pf3D7_07_v3	Q8IC00	2655070	null	PF07_0034	
PF3D7_0709000	Pf3D7_07_v3	Q8IBZ9	2655199	CRT	MAL7P1.27	
PF3D7_0709050	Pf3D7_07_v3	null	null	null	null	
PF3D7_0709100	Pf3D7_07_v3	Q8IBZ8	2655071	null	PF07_0035	
PF3D7_0709200	Pf3D7_07_v3	Q8IBZ7	2655072	GLP3	PF07_0036	
PF3D7_0709300	Pf3D7_07_v3	Q8IBZ6	2655073	CG2	PF07_0037	
PF3D7_0709400	Pf3D7_07_v3	Q8IBZ5	2655074	null	PF07_0038	
PF3D7_0709500	Pf3D7_07_v3	Q8IBZ4	2655075	null	PF07_0039	
PF3D7_0709600	Pf3D7_07_v3	C0H4M3	2655200	POP1	MAL7P1.28	
PF3D7_0709700	Pf3D7_07_v3	Q8IBZ2	2655076	null	PF07_0040	
PF3D7_0709800	Pf3D7_07_v3	C0H4M4	9221907	null	MAL7P1.29a, MALP1.29a	
PF3D7_0709900	Pf3D7_07_v3	Q8IBZ1	2655201	null	MAL7P1.29	
PF3D7_0710000	Pf3D7_07_v3	Q8IBZ0	2655203	null	MAL7P1.30	
PF3D7_0710100	Pf3D7_07_v3	Q8IBY9	2655077	null	PF07_0041	
PF3D7_0710200	Pf3D7_07_v3	Q8IBY8	2655090	null	PF07_0042	
PF3D7_0710300	Pf3D7_07_v3	C0H4M5	2655204	null	MAL7P1.31	
PF3D7_0710400	Pf3D7_07_v3	Q8IBY6	2655205	null	MAL7P1.32	
PF3D7_0710500	Pf3D7_07_v3	Q8IBY5	2655206	null	MAL7P1.33	
PF3D7_0710600	Pf3D7_07_v3	Q8IBY4	2655091	RPL34	PF07_0043	
PF3D7_0710700	Pf3D7_07_v3	Q8IBY3	2655092	null	PF07_0044	
PF3D7_0710800	Pf3D7_07_v3	Q8IBY2	2655093	null	PF07_0045	
PF3D7_0710900	Pf3D7_07_v3	Q8IBY1	2655094	RPL1	PF07_0046	
PF3D7_0711000	Pf3D7_07_v3	P46468	2655095	Cdc48	PF07_0047	
PF3D7_0711100	Pf3D7_07_v3	Q8IBX9	2655207	null	MAL7P1.34	
PF3D7_0711200	Pf3D7_07_v3	Q8IBX8	2655208	null	MAL7P1.35	
PF3D7_0711300	Pf3D7_07_v3	Q8IBX7	2655209	null	MAL7P1.36	
PF3D7_0711400	Pf3D7_07_v3	Q8IBX6	2655210	null	MAL7P1.37	
PF3D7_0711500	Pf3D7_07_v3	C0H4M6	2655211	null	MAL7P1.38	
PF3D7_0711600	Pf3D7_07_v3	null	null	null	PF3D7_07_RUF6_1, PF3D7_07_RUF6_1.1	
PF3D7_0711700	Pf3D7_07_v3	Q8IBX3	2654957	VAR	PF07_0048	
PF3D7_0711800	Pf3D7_07_v3	null	null	null	PF3D_07_RUF6_2, PF3D_07_RUF6_2.1	
PF3D7_0711900	Pf3D7_07_v3	null	2655001	RIF	MAL7P1.43	
PF3D7_0712000	Pf3D7_07_v3	Q8IBX2	2654960	VAR	PF07_0049	
PF3D7_0712100	Pf3D7_07_v3	null	null	null	PF3D7_07_RUF6_12, PF3D7_07_RUF6_12.1	
PF3D7_0712200	Pf3D7_07_v3	null	2655002	RIF	MAL7P1.47	
PF3D7_0712300	Pf3D7_07_v3	Q8IBX1	2654929	VAR	MAL7P1.50	
PF3D7_0712400	Pf3D7_07_v3	Q8IBX0	4794183	VAR	PF07_0050	
PF3D7_0712500	Pf3D7_07_v3	null	2655004	RIF	MAL7P1.52	
PF3D7_0712600	Pf3D7_07_v3	Q8IBW9	4794184	VAR	PF07_0051	
PF3D7_0712700	Pf3D7_07_v3	null	null	null	PF3D7_07_RUF_6_13, PF3D7_07_RUF_6_13.1	
PF3D7_0712800	Pf3D7_07_v3	Q8IBW8	2654948	VAR	MAL7P1.55	
PF3D7_0712900	Pf3D7_07_v3	Q8IBW7	4794185	VAR	MAL7P1.56	
PF3D7_0713000	Pf3D7_07_v3	Q8IBW6	2654942	RIF	MAL7P1.57	
PF3D7_0713100	Pf3D7_07_v3	Q8IBW5	2655005	MC-2TM	MAL7P1.58	
PF3D7_0713200	Pf3D7_07_v3	Q8IBW4	2655006	null	MAL7P1.59	
PF3D7_0713300	Pf3D7_07_v3	null	2655009	VAR	MAL7P1.60, MAL7P1.61, MAL7P1.62, MAL7P1.63	
PF3D7_0713400	Pf3D7_07_v3	Q8IBW3	2655012	SR25	MAL7P1.64	
PF3D7_0713500	Pf3D7_07_v3	Q8IBW2	2655013	null	MAL7P1.65	
PF3D7_0713600	Pf3D7_07_v3	Q8IBW1	2655014	null	MAL7P1.66	
PF3D7_0713700	Pf3D7_07_v3	C0H4M7	2655015	null	MAL7P1.67	
PF3D7_0713800	Pf3D7_07_v3	Q8IBV9	2655096	null	PF07_0052	
PF3D7_0713900	Pf3D7_07_v3	C0H4M8	2655097	null	PF07_0053	
PF3D7_0714000	Pf3D7_07_v3	Q8IBV7	2655098	H2B.Z	PF07_0054	
PF3D7_0714100	Pf3D7_07_v3	Q8IBV6	2655099	null	PF07_0055	
PF3D7_0714200	Pf3D7_07_v3	Q8IBV5	2655100	null	PF07_0056	
PF3D7_0714300	Pf3D7_07_v3	Q8IBV4	2655016	DHHC4	MAL7P1.68	
PF3D7_0714400	Pf3D7_07_v3	Q8IBV3	2655017	null	MAL7P1.69	
PF3D7_0714500	Pf3D7_07_v3	Q8IBV2	2655101	null	PF07_0057	
PF3D7_0714600	Pf3D7_07_v3	Q8IBV1	2655102	null	PF07_0058	
PF3D7_0714700	Pf3D7_07_v3	null	9221908	null	MAL7_tRNA_Asp1, MAL7_tRNA_Asp1:tRNA	
PF3D7_0714800	Pf3D7_07_v3	null	9221898	null	MAL7_tRNA_Leu1, MAL7_tRNA_Leu1:tRNA	
